malware_name,malware_package,malware_category,user_action
Android.Riskware.TestKey.rA,com.tesseractmobile.aiart,Riskware,realTimeDetected
Android.Riskware.Agent.aAPIF,ai.leonardo.leonardo,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,ai.generated.art.maker.image.picture.photo.generator.painting,Riskware,realTimeDetected
Android.Riskware.Packer.X,cosplay.ai.art.generator,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.idle.lengion.mojimogu,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.freshlightgames.dialogueadults,Riskware,realTimeDetected
Android.Riskware.Agent.OGF,ai.art.generator.paint.draw.photo,Riskware,realTimeDetected
Android.Riskware.Agent.NWV,com.ai.dalleai,Riskware,realTimeDetected
Android.Riskware.Agent.NWV,com.ai.dalleai,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.tesseractmobile.aiart,Riskware,realTimeDetected
Android.Riskware.Agent.aAPIF,ai.leonardo.leonardo,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,ai.generated.art.maker.image.picture.photo.generator.painting,Riskware,realTimeDetected
Android.Riskware.Packer.X,cosplay.ai.art.generator,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.idle.lengion.mojimogu,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.freshlightgames.dialogueadults,Riskware,realTimeDetected
Android.Riskware.Agent.OGF,ai.art.generator.paint.draw.photo,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,ai.generated.art.maker.image.picture.photo.generator.painting,Riskware,realTimeDetected
Android.Riskware.Packer.X,cosplay.ai.art.generator,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.idle.lengion.mojimogu,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.freshlightgames.dialogueadults,Riskware,realTimeDetected
Android.Riskware.Agent.OGF,ai.art.generator.paint.draw.photo,Riskware,realTimeDetected
Android.Riskware.Agent.NWV,com.ai.dalleai,Riskware,realTimeDetected
Android.Riskware.Agent.NWV,com.ai.dalleai,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.tesseractmobile.aiart,Riskware,realTimeDetected
Android.Riskware.Agent.aAPIF,ai.leonardo.leonardo,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,ai.generated.art.maker.image.picture.photo.generator.painting,Riskware,realTimeDetected
Android.Riskware.Packer.X,cosplay.ai.art.generator,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.idle.lengion.mojimogu,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.freshlightgames.dialogueadults,Riskware,realTimeDetected
Android.Riskware.Agent.OGF,ai.art.generator.paint.draw.photo,Riskware,realTimeDetected
Android.Riskware.Agent.NWV,com.ai.dalleai,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.mobirate.DeadAheadTactics,Riskware,realTimeDetected
Android.Riskware.Agent.NWV,com.ai.dalleai,Riskware,realTimeDetected
Android.Riskware.Packer.X,cosplay.ai.art.generator,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.idle.lengion.mojimogu,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.freshlightgames.dialogueadults,Riskware,realTimeDetected
